Water Control Zone,Station,Sampling Date,Dissolved Oxygen (mg/L),5-day Biochemical Oxygen Demand (mg/L)
Deep Bay,DM3,09/2022,4.8,0.4
Deep Bay,DM3,10/2022,6.2,0.3
Deep Bay,DM3,11/2022,6.1,3.5
Deep Bay,DM3,12/2022,5.5,0.3
Deep Bay,DM3,01/2023,7.4,2
Deep Bay,DM3,02/2023,7.6,1.2
Deep Bay,DM3,03/2023,6.4,0.9
Deep Bay,DM3,04/2023,6.5,0.4
Deep Bay,DM3,05/2023,5.2,1.4
Deep Bay,DM3,06/2023,7.6,0.5
Deep Bay,DM3,07/2023,4.6,0.5
Deep Bay,DM3,08/2023,4.2,0.2
Deep Bay,DM3,09/2023,4.6,0.6
Deep Bay,DM3,10/2023,5.3,0.3
Deep Bay,DM3,11/2023,6,0.2
Deep Bay,DM3,12/2023,6.7,0.6
Deep Bay,DM3,01/2024,7.9,0.9
Deep Bay,DM3,02/2024,6,0.8
Deep Bay,DM3,03/2024,5.7,<0.1
Deep Bay,DM3,04/2024,5.2,0.3
Deep Bay,DM3,05/2024,5.3,0.2
Deep Bay,DM3,06/2024,7.9,1.8
Deep Bay,DM3,07/2024,4.2,<0.1
Deep Bay,DM3,08/2024,8,0.6
Eastern Buffer,EM2,09/2022,4.5,0.2
Eastern Buffer,EM2,10/2022,5,<0.1
Eastern Buffer,EM2,11/2022,6.3,0.3
Eastern Buffer,EM2,12/2022,6.1,<0.1
Eastern Buffer,EM2,01/2023,6.4,0.1
Eastern Buffer,EM2,02/2023,7.5,0.8
Eastern Buffer,EM2,03/2023,7.3,0.7
Eastern Buffer,EM2,04/2023,6.2,<0.1
Eastern Buffer,EM2,05/2023,5.8,1.2
Eastern Buffer,EM2,06/2023,7,0.4
Eastern Buffer,EM2,07/2023,5.2,0.4
Eastern Buffer,EM2,08/2023,4.5,0.6
Eastern Buffer,EM2,09/2023,5.7,0.4
Eastern Buffer,EM2,10/2023,6.1,0.1
Eastern Buffer,EM2,11/2023,6.3,0.4
Eastern Buffer,EM2,12/2023,6,0.8
Eastern Buffer,EM2,01/2024,7.4,0.5
Eastern Buffer,EM2,02/2024,7,0.3
